Invocation Param,Invocation Value,task,tool,time,ram
,,3,BIDS-example,19.23131017355347,37.6171875
,,3,BIDS-example,19.749628111404423,36.60546875
,,3,BIDS-example,20.2560182061615,36.5859375
,,3,BIDS-example,20.76343493132019,36.38671875
,,3,BIDS-example,21.268240257781986,36.046875
,,3,BIDS-example,21.774198099655152,35.93359375
,,3,BIDS-example,22.27983526853943,36.59375
,,3,BIDS-example,22.78579930929565,27.6484375
,,3,BIDS-example,23.068444296401978,28.546875
bids_dir,/data/ds114/,4,BIDS-example,,
output_dir_name,/data/ds114/derivatives/bids-example/,4,BIDS-example,,
analysis_level,participant,4,BIDS-example,,
participant_label,['05'],4,BIDS-example,,
skip_validator,True,4,BIDS-example,,
,,4,BIDS-example,0.00366,28.52734375
,,4,BIDS-example,0.02670220199584961,33.47265625
,,4,BIDS-example,0.5318184262847899,47.91796875
,,4,BIDS-example,1.0372662908172607,47.92578125
,,4,BIDS-example,1.5413301354980469,47.9296875
,,4,BIDS-example,2.0477691060638428,48.0859375
,,4,BIDS-example,2.5523341065979004,48.2734375
,,4,BIDS-example,3.056150234375,48.28515625
,,4,BIDS-example,3.5621862775421143,48.31640625
,,4,BIDS-example,4.0694432622528085,48.3203125
,,4,BIDS-example,4.574645317230225,48.3203125
,,4,BIDS-example,5.079517162475586,48.328125
,,4,BIDS-example,5.583710230026245,48.33984375
,,4,BIDS-example,6.088654077682495,48.34765625
,,4,BIDS-example,6.593152321014403,48.35546875
,,4,BIDS-example,7.098014391098023,48.359375
,,4,BIDS-example,7.60320309463501,48.359375
,,4,BIDS-example,8.106948173675537,48.36328125
,,4,BIDS-example,8.612825191650389,48.375
,,4,BIDS-example,9.117359197769163,48.37890625
,,4,BIDS-example,9.621561086807253,48.37890625
,,4,BIDS-example,10.126267231140137,48.37890625
,,4,BIDS-example,10.630777156982422,48.3828125
,,4,BIDS-example,11.135908163223267,48.40234375
,,4,BIDS-example,11.642525232467651,48.40625
,,4,BIDS-example,12.146924293670654,48.4140625
,,4,BIDS-example,12.650540388259888,48.41796875
,,4,BIDS-example,13.155244386825562,34.734375
,,4,BIDS-example,13.418218410644533,34.75
bids_dir,/data/ds114/,5,BIDS-example,,
output_dir_name,/data/ds114/derivatives/bids-example/,5,BIDS-example,,
analysis_level,participant,5,BIDS-example,,
participant_label,['06'],5,BIDS-example,,
skip_validator,True,5,BIDS-example,,
,,5,BIDS-example,0.003461,29.2109375
,,5,BIDS-example,0.015687819992065432,34.16796875
,,5,BIDS-example,0.5210307803497315,48.28125
,,5,BIDS-example,1.0258909430847167,48.2890625
